Award_Name,Award_ID
Best Picture (Oscars),0
Best Actor (Oscars),0
Best Actress (Oscars),0
Best International Feature Film (Oscars),0
Best Original Song (Oscars),0
Best Animated Feature (Oscars),0
Best Supporting Actress (Oscars),0
Best Supporting Actor (Oscars),0
Best Director (Oscars),0
Best Supporting Actor (Oscars),0
Best Adapted Screenplay (Oscars),0
Best Original Screenplay (Oscars),0
Best Visual Effects (Oscars),0
Best Original Score (Oscars),0
Best Cinematography (Oscars),0
Best Makeup and Hairstyling (Oscars),0 
Best Costume Design (Oscars),0
Best Film Editing (Oscars),0
Best Production Design (Oscars),0
Best Sound (Oscars),0


